127.0.0.1 - - [12/Oct/2023:16:55:12 +0900] "GET / HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:13 +0900] "GET /CustomerManage/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:13 +0900] "GET /CustomerManage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:14 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:24 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:30 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:33 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:34 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:36 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:55:42 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:56:01 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:56:03 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 4716
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:56:06 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:56:07 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:56:08 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 4716
0:0:0:0:0:0:0:1 - - [12/Oct/2023:16:58:52 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 419
